rf,gb,perm,avg_importance,rfe_score,final_score
1.0,1.0,1.0,1.0,1.0,1.0
0.2090040662570887,0.21677013900527173,0.23822134227657876,0.2213318491796464,1.0,0.6106659245898232
0.1076945144550209,0.13710255108785993,0.17609481426599233,0.1402972932696244,1.0,0.5701486466348122
0.10681751246680157,0.11756386335476897,0.09311363916084285,0.10583167166080447,1.0,0.5529158358304023
0.0311342154687826,0.24592642125496217,0.03449300500238016,0.10385121390870831,1.0,0.5519256069543541
0.07430159767576708,0.05014863750373807,0.09042033688995396,0.07162352402315304,1.0,0.5358117620115765
0.04034406080545702,0.020359405787708257,0.03566681843032982,0.03212342834116503,1.0,0.5160617141705826
0.013585660381816876,0.022397484068601477,0.020601577193311175,0.018861573881243175,1.0,0.5094307869406216
0.01662406469349932,0.017661278183982502,0.018049089148932655,0.017444810675471493,1.0,0.5087224053377357
0.007044140833855642,0.009064971793989367,0.006613600744806528,0.007574237790883845,1.0,0.5037871188954419
0.009126146465444287,0.00490111053189918,0.006687632746855052,0.006904963248066173,1.0,0.5034524816240331
0.010412646952948143,0.0003212373075405936,0.007573121338734937,0.006102335199741225,1.0,0.5030511675998706
0.006771643894190333,0.0038097636402252117,0.006506970737371844,0.005696126090595797,1.0,0.5028480630452979
0.007603916316672233,0.0013887531701996458,0.005505338628314249,0.004832669371728709,1.0,0.5024163346858643
0.0034693212685167757,1.5141270519279779e-05,0.0026846335459801015,0.0020563653616720522,1.0,0.501028182680836
0.002436838365384162,0.0,0.0017750079693650733,0.0014039487782497452,0.5,0.2507019743891249
0.002531157581893039,0.004878320402091327,0.0017486196317575522,0.003052699205247306,0.3333333333333333,0.1681930162692903
0.0017515549386249417,0.0002521017052246312,0.000928589352039389,0.0009774153319629874,0.25,0.1254887076659815
0.0019766621918223103,0.00034101180258192806,0.0013331507108812726,0.0012169415684285037,0.2,0.10060847078421425
0.0015420366474230645,0.0011367694868094122,0.0009076319043111744,0.0011954793461812169,0.16666666666666666,0.08393107300642394
0.00156077084895911,0.00016507415453314856,0.000850682197678333,0.0008588424003901971,0.14285714285714285,0.07185799262876652
0.0002571239475480743,0.0,0.00022617916723992668,0.000161101038262667,0.125,0.06258055051913133
0.0,2.326342418188662e-06,0.0,7.754474727295541e-07,0.1111111111111111,0.05555594327929192
