property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Independent House,"Sector 46, Gurgaon",sector 46,3.7,39914.0,927.0,3,3,2,3.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.3465960199121562,309.0,"28.4374° N, 77.0586° E",28.4374,77.0586
Independent House,"Palam Vihar, Gurgaon",sector 1,5.1,32113.0,1557.0,6,6,3+,3.0,1,1,0,1,0,east,Unfurnished,Old Property,0.8813867260549119,259.5,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,mapsko mount ville,sector 79,2.1,24221.0,1620.0,3,3,2,13.0,0,0,0,0,1,east,Furnished,Relatively New,0.1275465379242346,540.0,"28.3624° N, 76.9787° E",28.3624,76.9787
Independent House,Ansals Palam Vihar,sector 1,7.5,23148.0,3240.0,4,4,2,2.0,0,0,1,0,0,not available,Unfurnished,Relatively New,1.1924634286049671,810.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent Builder Floor,Luxury Builder floor In South City 2,sector 49,2.6,14444.0,1800.0,3,3,2,1.0,0,1,0,1,0,east,Semi-Furnished,New Property,1.241077710345214,600.0,"28.4121° N, 77.0480° E",28.4121,77.048
Flat,spaze privvy the address,sector 93,1.87,8883.0,2105.0,3,3,2,8.0,1,1,0,0,0,east,Unfurnished,New Property,0.1275465379242346,701.6666666666666,"28.4153° N, 76.9326° E",28.4153,76.9326
Independent Builder Floor,"Sector 7, Gurgaon",sector 7,2.2,9778.0,2250.0,3,3,2,1.0,0,0,0,0,0,north-west,Unfurnished,Relatively New,0.7135508110872711,750.0,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,3.98,14741.0,2700.0,4,5,2,2.0,0,1,1,1,0,east,Semi-Furnished,New Property,0.8394911871307446,675.0,"28.4844° N, 77.0860° E",28.4844,77.086
Flat,m3m golfestate,sector 65,10.25,25561.0,4010.0,3,3,2,5.0,1,1,1,1,0,north,Furnished,Relatively New,1.3649117126625223,1336.6666666666667,"28.4030° N, 77.0690° E",28.403,77.069
Independent House,"C Block Mayfield Garden, Gurgaon",sector 50,6.7,31018.0,2160.0,4,4,3+,2.0,1,1,1,1,0,north-east,Furnished,Moderately Old,1.3649117126625223,540.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,sector 70,sector 70,1.8,12903.0,1395.0,3,3,2,2.0,0,0,0,0,1,north-east,Semi-Furnished,New Property,0.1275465379242346,465.0,"28.3968° N, 77.0233° E",28.3968,77.0233
Flat,bestech park view grand spa,sector 81,3.48,13082.0,2660.0,3,4,3+,10.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.8312670864413597,886.6666666666666,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,sobha city,sector 108,2.63,19044.0,1381.0,2,2,2,4.0,0,0,0,0,0,north-west,Unfurnished,New Property,0.1275465379242346,690.5,"28.5134° N, 76.9830° E",28.5134,76.983
Independent House,"Surat Nagar Phase 1, Gurgaon",sector 104,0.8,8889.0,900.0,2,2,1,1.0,0,0,1,1,0,east,Unfurnished,New Property,1.0243494907897843,450.0,"28.4788° N, 76.9960° E",28.4788,76.996
Flat,m3m golfestate,sector 65,7.25,25000.0,2900.0,3,3,3,10.0,0,1,0,0,0,north-east,Semi-Furnished,Moderately Old,0.1275465379242346,966.6666666666666,"28.4030° N, 77.0690° E",28.403,77.069
Independent Builder Floor,Signature Global Park,sector 33,0.75,7485.0,1000.0,2,2,3,2.0,0,0,0,0,1,north-east,Unfurnished,Relatively New,0.963534327857176,500.0,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,"Sector 38, Gurgaon",sector 38,11.5,44061.0,2610.0,4,4,2,3.0,1,1,0,1,1,east,Furnished,New Property,0.8813867260549119,652.5,"28.4347° N, 77.0430° E",28.4347,77.043
Independent House,Unitech Uniworld Resorts,sector 33,12.49,27756.0,4500.0,5,6,3+,3.0,1,1,1,1,0,west,Semi-Furnished,Moderately Old,1.3649117126625223,900.0,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,"Block-A, DLF City Phase 1, Gurgaon",sector 26,35.0,77778.0,4500.0,5,5,3+,3.0,1,1,1,1,0,north,Semi-Furnished,New Property,1.04456777853057,900.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Flat,m3m soulitude,sector 89,1.66,11111.0,1494.0,3,3,2,1.0,1,0,1,0,0,south-west,Unfurnished,Relatively New,1.3649117126625223,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent Builder Floor,Anant Raj Estates,sector 63,2.35,16206.0,1450.0,3,2,2,1.0,0,1,0,1,0,east,Semi-Furnished,New Property,0.6096630232949057,483.3333333333333,"28.3971° N, 77.0867° E",28.3971,77.0867
Flat,experion windchants,sector 112,3.8,15567.0,2441.0,2,2,2,14.0,1,1,0,0,0,north,Semi-Furnished,New Property,0.7723767856216032,1220.5,"28.5189° N, 77.0183° E",28.5189,77.0183
Flat,m3m soulitude,sector 89,1.57,11033.0,1423.0,3,3,2,1.0,0,0,1,1,0,north,Unfurnished,New Property,1.100057784316213,474.3333333333333,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent House,"Sector 39, Gurgaon",sector 39,7.0,29573.0,2367.0,10,10,2,3.0,0,0,0,1,0,south-east,Unfurnished,Old Property,0.7429700547868098,236.7,"28.4434° N, 77.0515° E",28.4434,77.0515
Independent House,sector 14 old dlf colony,sector 14,8.5,29514.0,2880.0,3,3,3,2.0,0,0,0,1,0,north-east,Unfurnished,Old Property,0.0,960.0,"28.4711° N, 77.0454° E",28.4711,77.0454
Flat,krrish provence estate,gwal pahari,6.5,14444.0,5800.0,4,6,3+,11.0,1,1,0,1,0,south,Unfurnished,Relatively New,0.5902469482903756,1450.0,"28.4484° N, 77.0210° E",28.4484,77.021
Independent Builder Floor,Tata Primanti,sector 72,6.4,19692.0,3250.0,4,4,3+,0.0,1,1,1,1,1,north-east,Semi-Furnished,Moderately Old,1.3649117126625223,812.5,"28.4225° N, 77.0211° E",28.4225,77.0211
Flat,sare homes,sector 92,1.8,8823.0,2040.0,4,3,3,3.0,0,0,0,0,0,north-east,Unfurnished,New Property,0.0818407998606694,510.0,"28.4079° N, 76.9153° E",28.4079,76.9153
Flat,unitech fresco,sector 50,2.7,14876.0,1815.0,3,3,3+,9.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0.9543859933665908,605.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent House,Emaar MGF The Vilas,sector 25,22.0,27500.0,8000.0,6,8,3+,3.0,1,1,1,1,0,west,Semi-Furnished,Moderately Old,1.0634412262345343,1333.3333333333333,"28.4844° N, 77.0860° E",28.4844,77.086
Flat,indiabulls enigma,sector 110,6.15,15850.0,3880.0,5,5,3,11.0,1,1,1,1,0,east,Unfurnished,Relatively New,1.2877501839940229,776.0,"28.5145° N, 77.0197° E",28.5145,77.0197
Flat,godrej meridien,sector 106,2.22,16251.0,1366.0,2,2,3+,8.0,0,0,0,1,0,east,Unfurnished,New Property,0.0,683.0,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent House,"Sector 7, Gurgaon",sector 7,3.1,20704.0,1449.0,3,2,2,1.0,0,0,0,0,0,north-east,Unfurnished,Moderately Old,0.3465960199121562,483.0,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent Builder Floor,Ireo City Plots,sector 60,3.85,16739.0,2300.0,4,4,3,2.0,0,0,0,1,0,east,Semi-Furnished,New Property,0.2602575476227862,575.0,"28.4003° N, 77.0975° E",28.4003,77.0975
Independent House,"Sector 4, Gurgaon",sector 4,4.8,19753.0,2430.0,6,6,2,2.0,0,0,0,0,0,south-east,Unfurnished,Old Property,1.0681530811834012,405.0,"28.4738° N, 77.0107° E",28.4738,77.0107
Flat,emaar digihomes,sector 62,6.25,24140.0,2589.0,3,5,3,31.0,0,1,0,0,0,east,Semi-Furnished,Relatively New,0.8921140239179486,863.0,"28.4139° N, 77.0886° E",28.4139,77.0886
Independent House,"Greenwood City, Gurgaon",sector 45,17.0,37778.0,4500.0,6,7,3+,3.0,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1.3649117126625223,750.0,"28.4466° N, 77.0660° E",28.4466,77.066
Flat,eldeco accolade,sector 33,1.42,9746.0,1457.0,2,2,1,4.0,1,1,1,1,0,east,Unfurnished,Relatively New,0.2598211204991876,728.5,"28.4420° N, 77.0207° E",28.442,77.0207
Flat,ss the leaf,sector 85,1.85,11280.0,1640.0,2,3,3,4.0,0,0,0,0,0,north-east,Unfurnished,Relatively New,0.501918145179739,820.0,"28.4042° N, 76.9513° E",28.4042,76.9513
Flat,hero homes,sector 104,2.3,13617.0,1689.0,3,2,2,10.0,0,0,0,1,0,north-east,Unfurnished,New Property,1.3649117126625223,563.0,"28.4788° N, 76.9960° E",28.4788,76.996
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,5.25,19444.0,2700.0,4,5,3,2.0,1,1,0,1,1,east,Semi-Furnished,Relatively New,0.3599807943436079,675.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,3.4,10793.0,3150.0,4,4,2,3.0,0,1,0,1,0,south-east,Semi-Furnished,New Property,0.6865689878413247,787.5,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent House,International City by Sobha Phase 1,sector 109,14.5,40278.0,3600.0,6,8,3+,3.0,1,1,0,1,1,north-west,Semi-Furnished,Relatively New,1.241077710345214,600.0,"28.5073° N, 77.0089° E",28.5073,77.0089
Independent House,"Sector 4, Gurgaon",sector 4,4.25,18889.0,2250.0,1,1,2,1.0,0,0,0,0,0,west,Unfurnished,Old Property,0.0,2250.0,"28.4738° N, 77.0107° E",28.4738,77.0107
Independent Builder Floor,DLF Luxury Builder Floors,sector 25,4.25,15741.0,2700.0,4,4,2,4.0,0,1,1,1,0,north,Semi-Furnished,New Property,1.241077710345214,675.0,"28.4844° N, 77.0860° E",28.4844,77.086
Flat,ss the coralwood,sector 84,1.87,7936.0,1890.0,3,3,3+,5.0,0,0,0,0,0,east,Unfurnished,Relatively New,1.0926827942247077,630.0,"28.3979° N, 76.9736° E",28.3979,76.9736
Independent House,Tulip Ivory,sector 70,11.5,33626.0,3420.0,6,8,3+,2.0,1,1,0,1,1,north,Unfurnished,Moderately Old,1.3053451892726944,570.0,"28.3968° N, 77.0233° E",28.3968,77.0233
Flat,bestech park view grand spa,sector 81,5.3,12619.0,4200.0,4,6,3+,12.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0.6082775906387904,1050.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,m3m heights,sector 65,2.75,22000.0,1450.0,2,2,3,20.0,1,0,0,0,0,north-east,Unfurnished,New Property,1.329549291364257,725.0,"28.4030° N, 77.0690° E",28.403,77.069
Independent House,"Rosewood City, Gurgaon",sector 49,6.5,38012.0,1710.0,4,4,3,2.0,0,1,0,0,0,not available,Unfurnished,Old Property,0.7589525875378962,427.5,"28.4121° N, 77.0480° E",28.4121,77.048
Flat,godrej meridien,sector 106,3.2,15976.0,2003.0,3,3,3+,6.0,0,1,0,0,0,north-east,Unfurnished,Relatively New,1.3649117126625223,667.6666666666666,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent Builder Floor,Vatika Independent Floors,sector 82,1.1,11891.0,925.0,2,2,2,1.0,0,0,0,0,0,south,Unfurnished,Relatively New,0.8525267534681994,462.5,"28.3935° N, 76.9600° E",28.3935,76.96
Flat,experion windchants,sector 112,4.92,17558.0,2802.0,3,3,3,14.0,0,1,0,0,0,north,Unfurnished,Relatively New,0.079055282739243,934.0,"28.5189° N, 77.0183° E",28.5189,77.0183
Flat,emaar mgf emerald floors premier,sector 65,3.75,18987.0,1975.0,4,4,3,3.0,1,1,0,0,0,east,Semi-Furnished,Relatively New,1.3274002576019963,493.75,"28.4030° N, 77.0690° E",28.403,77.069
Flat,bestech park view spa next,sector 67,3.21,15970.0,2010.0,3,3,3+,7.0,0,1,0,0,0,north-west,Semi-Furnished,Moderately Old,1.0858264951465455,670.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,"Sector 14, Gurgaon",sector 14,6.85,30444.0,2250.0,7,4,2,2.0,0,0,0,0,0,north-east,Furnished,Moderately Old,0.0,321.42857142857144,"28.4711° N, 77.0454° E",28.4711,77.0454
Independent House,International City by Sobha Phase 1,sector 109,18.5,41111.0,4500.0,5,4,2,2.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.8786476415438355,900.0,"28.5073° N, 77.0089° E",28.5073,77.0089
Flat,bestech park view grand spa,sector 81,4.45,12824.0,3470.0,4,6,3+,8.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0.6082775906387904,867.5,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent Builder Floor,Ultra-Luxury Floors,sector 28,5.5,16975.0,3240.0,4,4,2,1.0,0,1,0,1,0,north-east,Semi-Furnished,Relatively New,1.241077710345214,810.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Independent House,Sushant Lok 2 Ext G Block,sector 57,4.65,30039.0,1548.0,4,3,2,2.0,0,0,1,0,0,north-east,Unfurnished,Old Property,0.3540393984661831,387.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,bestech park view grand spa,sector 81,3.45,17250.0,2660.0,3,3,3,10.0,0,1,0,0,0,north-east,Unfurnished,Relatively New,0.7247646792304928,886.6666666666666,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,bestech park view grand spa,sector 81,5.16,12285.0,4200.0,4,6,3+,15.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,1.1004031369717966,1050.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,godrej meridien,sector 106,2.6,16000.0,1625.0,3,3,3,12.0,0,0,0,0,0,north,Unfurnished,Relatively New,0.8802137512566762,541.6666666666666,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent House,"Sector 4, Gurgaon",sector 4,3.35,23264.0,1440.0,3,3,2,2.0,0,0,0,1,0,east,Unfurnished,Old Property,0.0,480.0,"28.4738° N, 77.0107° E",28.4738,77.0107
Flat,unitech harmony,sector 50,2.55,14198.0,1796.0,2,2,2,10.0,1,0,0,0,0,north-east,Unfurnished,Relatively New,0.7021630192415659,898.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,conscient elevate,sector 59,4.9,23389.0,2095.0,3,3,2,3.0,0,1,0,0,0,east,Unfurnished,New Property,1.202405539071264,698.3333333333334,"28.4051° N, 77.1097° E",28.4051,77.1097
Independent Builder Floor,VASTU COMPLAINT,sector 25,4.35,14500.0,3000.0,4,5,2,1.0,1,1,0,1,1,east,Semi-Furnished,New Property,0.3599807943436079,750.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent House,Ansals Palam Vihar,sector 1,1.55,26094.0,594.0,2,2,2,2.0,0,0,0,0,0,west,Unfurnished,Old Property,0.8813867260549119,297.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent Builder Floor,Anant Raj Estates,sector 63,2.35,18800.0,1250.0,3,3,2,2.0,0,0,0,1,1,east,Semi-Furnished,New Property,0.7339540806266571,416.6666666666667,"28.3971° N, 77.0867° E",28.3971,77.0867
Flat,bestech park view sanskruti,sector 92,2.4,11320.0,2120.0,3,4,2,12.0,0,1,0,0,1,north,Unfurnished,Relatively New,0.1275465379242346,706.6666666666666,"28.4079° N, 76.9153° E",28.4079,76.9153
Independent House,"Sushant Lok 3 Extension, Gurgaon",sector 57,3.25,13525.0,2403.0,3,3,3,4.0,1,0,0,0,0,north-east,Unfurnished,Relatively New,0.1275465379242346,801.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent Builder Floor,Central Park Flower Valley,sector 33,2.5,13888.0,1800.0,3,3,2,2.0,1,0,0,0,0,north,Unfurnished,New Property,0.695832251772967,600.0,"28.4420° N, 77.0207° E",28.442,77.0207
Flat,emaar palm gardens,sector 83,2.3,13372.0,1720.0,3,2,3,6.0,0,0,0,0,0,north-east,Unfurnished,Relatively New,0.8296635006451247,573.3333333333334,"28.3986° N, 76.9647° E",28.3986,76.9647
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,6.19,17194.0,3600.0,4,5,3,2.0,0,1,0,0,1,west,Semi-Furnished,New Property,0.9907679081008612,900.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent House,"Sector 31, Gurgaon",sector 31,4.25,29331.0,1449.0,6,6,2,3.0,0,0,0,1,0,south-east,Unfurnished,Old Property,0.843395376888016,241.5,"28.4528° N, 77.0498° E",28.4528,77.0498
Independent Builder Floor,Signature Global Park,sector 33,1.18,9752.0,1210.0,3,2,3,1.0,0,0,0,0,0,north-east,Unfurnished,New Property,0.5916053602025027,403.3333333333333,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,"Palam Vihar, Gurgaon",sector 1,7.25,25819.0,2808.0,3,3,2,1.0,0,0,1,0,0,east,Unfurnished,Old Property,0.3168744400977996,936.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent House,"Vishnu Garden, Gurgaon",sector 105,1.2,13333.0,900.0,3,3,2,2.0,0,0,0,0,0,west,Unfurnished,Relatively New,0.0,300.0,"28.4952° N, 77.0114° E",28.4952,77.0114
Independent Builder Floor,Sector 57,sector 57,2.99,12304.0,2430.0,4,4,2,1.0,1,1,0,1,1,east,Semi-Furnished,Relatively New,0.3599807943436079,607.5,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent Builder Floor,"Sector 51, Gurgaon",sector 51,3.15,17157.0,1836.0,3,3,2,1.0,0,0,0,1,0,north-west,Unfurnished,New Property,0.6953146412398001,612.0,"28.4320° N, 77.0686° E",28.432,77.0686
Flat,vatika city,sector 49,3.45,16562.0,2083.0,3,4,3,3.0,1,0,1,1,0,south-east,Furnished,Relatively New,1.3649117126625223,694.3333333333334,"28.4121° N, 77.0480° E",28.4121,77.048
Flat,godrej meridien,sector 106,2.85,15363.0,1855.0,3,3,3,21.0,0,0,0,0,0,north,Unfurnished,New Property,0.7701518964935387,618.3333333333334,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent House,"Sector 9, Gurgaon",sector 9,6.2,26193.0,2367.0,5,3,2,2.0,1,1,0,1,1,north-east,Furnished,Moderately Old,1.329549291364257,473.4,"28.4603° N, 77.0000° E",28.4603,77.0
Flat,orris aster court,sector 85,1.42,8947.0,1587.0,3,3,3,7.0,0,0,0,0,1,north,Unfurnished,Relatively New,0.1275465379242346,529.0,"28.4042° N, 76.9513° E",28.4042,76.9513
Independent House,Emaar MGF Marbella,sector 66,25.0,55556.0,4500.0,5,5,2,3.0,1,1,0,1,0,west,Unfurnished,Moderately Old,0.8813867260549119,900.0,"28.3925° N, 77.0541° E",28.3925,77.0541
Flat,vatika sovereign park,sector 99,3.5,12727.0,2750.0,3,3,2,8.0,0,1,0,0,0,west,Semi-Furnished,New Property,0.0,916.6666666666666,"28.4640° N, 76.9614° E",28.464,76.9614
Independent House,"Jhajjar Road, Gurgaon",sector 15,0.9,5607.0,1605.0,2,2,0,1.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,802.5,"28.4621° N, 77.0464° E",28.4621,77.0464
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,4.35,11562.0,3762.0,4,4,2,1.0,0,1,0,1,0,north,Semi-Furnished,New Property,0.8052537582115236,940.5,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,smart world gems,sector 89,1.75,11713.0,1494.0,3,3,2,3.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent House,Vipul Tatvam Villa,sector 48,11.0,33951.0,3240.0,4,4,3+,2.0,1,1,1,0,0,not available,Furnished,Old Property,0.7589525875378962,810.0,"28.4177° N, 77.0359° E",28.4177,77.0359
Independent Builder Floor,"Sector 63A, Gurgaon",sector 63,2.4,14814.0,1620.0,3,3,2,1.0,0,1,0,1,0,north-east,Semi-Furnished,New Property,0.3545689543136017,540.0,"28.3971° N, 77.0867° E",28.3971,77.0867
Independent House,Sobha City,sector 108,9.5,39095.0,2430.0,4,4,3+,3.0,1,0,0,0,0,north-east,Unfurnished,Relatively New,1.171868595472568,607.5,"28.5134° N, 76.9830° E",28.5134,76.983
Flat,ireo the grand arch,sector 58,7.8,27234.0,2864.0,4,4,3+,15.0,0,1,1,0,0,north-east,Unfurnished,Moderately Old,1.3649117126625223,716.0,"28.4200° N, 77.1105° E",28.42,77.1105
Independent House,"Garhi Harsaru, Gurgaon",sector 92,0.48,7619.0,630.0,3,3,1,2.0,0,0,0,0,0,not available,Unfurnished,Relatively New,0.0,210.0,"28.4079° N, 76.9153° E",28.4079,76.9153
Flat,intelligentsia apartment,sector 56,2.4,16551.0,2100.0,3,3,3,8.0,0,0,0,0,1,east,Unfurnished,Old Property,0.1275465379242346,700.0,"28.4245° N, 77.0991° E",28.4245,77.0991
Independent House,Ardee City,sector 52,2.3,10648.0,2160.0,3,3,3,3.0,0,0,0,0,0,west,Unfurnished,Moderately Old,0.6931471805599453,720.0,"28.4379° N, 77.0785° E",28.4379,77.0785
Independent House,"Sector 15 Part 2, Gurgaon",sector 15,18.99,42031.0,4518.0,2,2,0,3.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,2259.0,"28.4621° N, 77.0464° E",28.4621,77.0464
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.4,10139.0,2367.0,3,3,2,1.0,1,0,1,1,0,north-east,Unfurnished,Relatively New,0.2493628396354255,789.0,"28.5121° N, 77.0478° E",28.5121,77.0478
Flat,bestech park view ananda,sector 81,1.52,11176.0,1360.0,2,2,3,6.0,0,0,0,0,0,east,Unfurnished,Moderately Old,0.1275465379242346,680.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,bestech park view spa next,sector 67,4.25,16129.0,2635.0,4,5,3+,6.0,0,1,0,0,0,north,Semi-Furnished,Moderately Old,1.0634412262345343,658.75,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,tata primanti,sector 72,4.75,18095.0,2625.0,4,4,3+,8.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,1.3649117126625223,656.25,"28.4225° N, 77.0211° E",28.4225,77.0211
Independent House,"South City 1, Gurgaon",sector 41,8.5,39352.0,2160.0,6,6,3+,3.0,1,1,0,1,0,east,Furnished,Relatively New,1.0699992654516446,360.0,"28.4557° N, 77.0632° E",28.4557,77.0632
Flat,godrej meridien,sector 106,2.65,15197.0,1743.0,3,3,2,15.0,0,0,0,0,0,east,Unfurnished,New Property,0.1275465379242346,581.0,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent Builder Floor,"South City 1, Gurgaon",sector 41,4.35,13425.0,3240.0,4,4,2,4.0,0,1,0,0,1,south-east,Semi-Furnished,New Property,0.3599807943436079,810.0,"28.4557° N, 77.0632° E",28.4557,77.0632
Independent House,Vipul Tatvam Villa,sector 48,11.0,33951.0,3240.0,4,4,2,3.0,0,1,1,0,0,north,Unfurnished,Old Property,1.274861989879849,810.0,"28.4177° N, 77.0359° E",28.4177,77.0359
Flat,dlf regal gardens,sector 90,2.01,11809.0,1702.0,3,3,3,6.0,0,0,0,0,0,south,Unfurnished,Relatively New,1.2241915492507014,567.3333333333334,"28.4085° N, 76.9369° E",28.4085,76.9369
Independent House,Eros Rosewood City,sector 49,16.5,34921.0,4725.0,5,7,3+,3.0,1,1,1,1,0,north-east,Furnished,New Property,1.3649117126625223,945.0,"28.4121° N, 77.0480° E",28.4121,77.048
Flat,emaar imperial gardens,sector 102,2.4,12000.0,2000.0,3,4,2,8.0,0,1,0,0,0,south-east,Unfurnished,Relatively New,0.7035177481526577,666.6666666666666,"28.4750° N, 76.9715° E",28.475,76.9715
Flat,dlf the ultima,sector 81,3.51,16690.0,2103.0,3,4,3+,20.0,0,1,0,0,0,west,Semi-Furnished,Relatively New,1.0842007636079103,701.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent Builder Floor,Florence Residency,sector 57,2.98,12263.0,2430.0,4,4,2,2.0,0,0,0,0,0,north,Semi-Furnished,New Property,0.3465960199121562,607.5,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,bestech park view city 2,sector 49,3.2,17213.0,1859.0,3,4,3+,10.0,0,1,0,0,0,east,Unfurnished,Old Property,0.0,619.6666666666666,"28.4121° N, 77.0480° E",28.4121,77.048
Flat,smart world orchard,sector 61,2.52,15488.0,1627.0,3,3,3+,3.0,0,0,1,0,0,north-east,Unfurnished,New Property,1.3649117126625223,542.3333333333334,"28.4050° N, 77.0963° E",28.405,77.0963
Independent Builder Floor,"Sector 89, Gurgaon",sector 89,3.5,12500.0,2800.0,3,3,3,7.0,0,0,0,0,1,north-west,Unfurnished,New Property,0.3599807943436079,933.3333333333334,"28.4253° N, 76.9439° E",28.4253,76.9439
Flat,ireo the corridors,sector 67,3.0,29498.0,1727.0,3,3,2,12.0,1,0,0,1,0,east,Unfurnished,Relatively New,1.3649117126625223,575.6666666666666,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,"Sector 45, Gurgaon",sector 45,9.0,38023.0,2367.0,5,5,2,3.0,0,0,0,1,0,north-east,Unfurnished,Relatively New,0.7429700547868098,473.4,"28.4466° N, 77.0660° E",28.4466,77.066
Independent House,"Housing board colony,Sector 7 Ext, Gurgaon",sector 7,0.75,7788.0,963.0,3,3,2,2.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,321.0,"28.4644° N, 77.0143° E",28.4644,77.0143
Flat,ardee city,sector 52,2.3,14375.0,2250.0,4,4,2,0.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,562.5,"28.4379° N, 77.0785° E",28.4379,77.0785
Flat,vatika the seven lamps,sector 82,2.28,11111.0,2160.0,3,3,3,16.0,1,1,1,1,0,west,Unfurnished,Relatively New,0.1275465379242346,720.0,"28.3935° N, 76.9600° E",28.3935,76.96
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.14,17444.0,1800.0,3,3,2,2.0,0,0,0,0,0,north-east,Furnished,Relatively New,0.1441820199651446,600.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Independent House,"New Colony, Gurgaon",sector 7,5.6,6222.0,9000.0,10,4,3,2.0,0,0,0,0,0,not available,Unfurnished,Moderately Old,0.0,900.0,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent House,Ansal API Esencia,sector 67,6.6,17502.0,3771.0,3,3,3,3.0,0,1,0,0,0,north,Semi-Furnished,Moderately Old,0.5554020709341727,1257.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,"Sector 15 Part 1, Gurgaon",sector 15,14.0,45484.0,3078.0,9,9,2,3.0,0,0,0,1,0,north-west,Unfurnished,Relatively New,0.7429700547868098,342.0,"28.4621° N, 77.0464° E",28.4621,77.0464
Independent Builder Floor,Anant Raj Estates,sector 63,2.85,13768.0,2070.0,3,3,2,2.0,0,0,1,1,0,north-east,Semi-Furnished,New Property,0.3561559413556605,690.0,"28.3971° N, 77.0867° E",28.3971,77.0867
Independent Builder Floor,Smart World Gems,sector 89,1.62,10843.0,1494.0,3,3,2,2.0,1,0,1,1,0,north-east,Unfurnished,New Property,1.130397346384572,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Flat,emaar mgf emerald floors premier,sector 65,2.98,18656.0,1600.0,3,3,2,3.0,1,0,0,0,0,north,Unfurnished,Moderately Old,1.1401585491463309,533.3333333333334,"28.4030° N, 77.0690° E",28.403,77.069
