property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Independent House,Unitech Deerwood Chase,sector 50,9.5,2160.0,3,2,1,Low-rise,0,1,0,0,0,north,Semi-Furnished,Old Property,1,1,1,0,720.0,0,Semi-Luxury
Independent Builder Floor,Green Meadows,sector 43,6.5,3762.0,5,5,2,Low-rise,0,1,0,0,0,north-west,Unfurnished,New Property,1,1,0,1,752.4,0,Budget
Flat,bestech park view spa next,sector 67,3.0,1935.0,3,4,3,Mid-rise,0,1,0,0,0,north,Semi-Furnished,Moderately Old,0,1,1,1,645.0,0,Luxury
Independent House,Unitech Nirvana Birch Court,sector 50,20.0,4500.0,3,3,1,Low-rise,0,1,0,0,0,east,Semi-Furnished,Old Property,1,1,1,0,1500.0,0,Luxury
Independent Builder Floor,Premium Luxury DLF City Floors,sector 26,4.5,2106.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Unfurnished,New Property,1,1,0,1,526.5,0,Semi-Luxury
Independent House,"Sector 31, Gurgaon",sector 31,9.5,3240.0,4,4,2,Low-rise,1,0,0,0,0,west,Unfurnished,Old Property,1,1,1,0,810.0,0,Semi-Luxury
Independent House,Emaar MGF Marbella,sector 66,16.0,3150.0,4,4,3,Low-rise,1,1,0,0,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,787.5,0,Semi-Luxury
Independent House,"Sector 5, Gurgaon",sector 5,3.35,1449.0,3,3,2,Low-rise,0,0,0,1,0,east,Unfurnished,Old Property,1,1,1,0,483.0,0,Budget
Independent House,"Sushant Lok Phase 1, Gurgaon",sector 43,2.15,1650.0,1,1,0,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,0,1,1,1650.0,0,Budget
Flat,ireo the corridors,sector 67,2.45,1485.0,2,2,3+,Mid-rise,1,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,742.5,0,Semi-Luxury
Flat,emaar mgf the palm drive,sector 66,5.19,2625.0,4,4,2,Mid-rise,0,1,0,0,0,north,Semi-Furnished,Moderately Old,0,1,1,1,656.25,0,Luxury
Flat,pioneer araya,sector 62,11.0,3505.0,3,4,3,High-rise,0,1,0,0,0,north-east,Unfurnished,Old Property,0,1,1,1,1168.3333333333333,0,Semi-Luxury
Independent House,"Palam Vihar, Gurgaon",sector 1,15.0,4680.0,8,8,3+,Low-rise,1,1,0,1,0,south-east,Unfurnished,New Property,1,1,1,0,585.0,0,Semi-Luxury
Flat,adani m2k oyster grande,sector 102,2.4,1689.0,3,3,3+,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,563.0,0,Budget
Independent Builder Floor,"Block A South City 2, Gurgaon",sector 49,2.55,1700.0,3,3,2,Low-rise,0,1,0,0,0,not available,Semi-Furnished,New Property,1,1,0,1,566.6666666666666,0,Budget
Independent Builder Floor,Smart World Gems,sector 89,1.36,1196.0,2,2,2,Low-rise,1,0,1,0,0,south,Unfurnished,New Property,0,1,1,1,598.0,0,Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.05,1349.0,2,2,2,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,674.5,0,Luxury
Independent House,"Malibu Town, Gurgaon",sector 47,15.0,4500.0,5,6,3+,Low-rise,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1,1,1,0,900.0,0,Luxury
Independent House,"Sector 4, Gurgaon",sector 4,3.85,1440.0,4,4,3+,Low-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,360.0,0,Luxury
Independent House,Bptp Visionnaire,sector 70,6.99,5900.0,5,5,3+,Low-rise,1,1,1,0,0,north,Unfurnished,New Property,1,0,0,0,1180.0,0,Luxury
Independent Builder Floor,DLF Phase - 1,sector 26,4.3,2250.0,4,4,2,Low-rise,0,0,0,0,1,north,Semi-Furnished,Relatively New,1,1,0,1,562.5,0,Budget
