property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Flat,hero homes,sector 104,2.45,1689.0,3,3,3,High-rise,0,0,0,1,0,east,Unfurnished,New Property,0,1,1,1,563.0,0,Semi-Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.1,1349.0,2,2,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,674.5,0,Luxury
Independent House,Emaar MGF Marbella,sector 66,17.25,3150.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Unfurnished,Relatively New,1,1,1,0,630.0,0,Luxury
Flat,experion windchants,sector 112,4.45,2802.0,3,3,2,High-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,934.0,0,Semi-Luxury
Flat,experion windchants,sector 112,7.24,4848.0,4,4,3,Mid-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,1212.0,0,Semi-Luxury
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,5.45,3240.0,4,4,2,Low-rise,0,1,0,1,1,south-east,Semi-Furnished,New Property,1,1,0,1,810.0,0,Budget
Flat,smart world gems,sector 89,1.65,1495.0,3,3,2,Low-rise,1,0,0,0,0,north,Unfurnished,Relatively New,1,0,1,1,498.3333333333333,0,Luxury
Independent Builder Floor,Central Park Flower Valley Flamingo Floors,sector 33,1.4,1093.0,2,2,3,Low-rise,1,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,546.5,0,Budget
Independent House,B block,sector 49,16.1,3870.0,6,6,3+,Low-rise,1,1,1,1,0,north-east,Furnished,Relatively New,1,1,0,0,645.0,0,Luxury
Independent House,Floor Wise Kothi,sector 57,14.0,4500.0,12,12,3+,Low-rise,0,1,0,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,375.0,0,Semi-Luxury
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.75,2700.0,4,4,2,Low-rise,0,1,0,1,0,south,Semi-Furnished,New Property,0,1,1,1,675.0,0,Budget
Independent Builder Floor,SUPER LUXURY FLOOR CHEAPEST DEAL,sector 25,3.89,2400.0,4,4,2,Low-rise,1,1,0,1,1,south-east,Unfurnished,Relatively New,1,1,0,1,600.0,0,Budget
Independent Builder Floor,Luxury Builder Floors dlf phase 2,sector 25,4.65,2844.0,4,4,2,Low-rise,0,1,0,0,1,west,Semi-Furnished,Relatively New,1,1,0,1,711.0,0,Semi-Luxury
Independent House,"Malibu Town, Gurgaon",sector 47,7.71,1800.0,7,7,3+,Low-rise,1,0,1,1,0,not available,Semi-Furnished,Moderately Old,1,1,1,0,257.14285714285717,1,Budget
Independent Builder Floor,M3M Soulitude,sector 89,1.68,1494.0,3,3,3,Low-rise,1,0,1,1,0,east,Unfurnished,Relatively New,1,1,0,1,498.0,0,Luxury
Independent Builder Floor,"Block B Sushant Lok 3, Gurgaon",sector 57,4.85,4500.0,4,5,3,Low-rise,1,1,0,1,0,south-east,Semi-Furnished,Relatively New,0,1,1,1,1125.0,0,Budget
Flat,ireo the corridors,sector 67,3.05,1852.0,3,4,2,Mid-rise,0,1,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,617.3333333333334,0,Budget
Independent House,SS Linden Floors,sector 84,3.0,2700.0,4,4,3+,Low-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,675.0,0,Semi-Luxury
Independent House,Malibu Towne,sector 47,7.5,2160.0,4,4,3,Low-rise,0,0,1,0,0,east,Unfurnished,Moderately Old,1,0,0,0,540.0,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.65,4680.0,4,5,2,Low-rise,1,1,1,1,0,south,Unfurnished,Relatively New,1,0,1,1,1170.0,0,Semi-Luxury
Flat,sobha city,sector 108,3.5,1711.0,3,3,2,High-rise,0,0,1,0,0,east,Unfurnished,New Property,0,1,1,1,570.3333333333334,0,Semi-Luxury
Independent Builder Floor,"Sector 49, Gurgaon",sector 49,3.5,2250.0,4,4,2,Low-rise,0,0,0,1,0,north-east,Unfurnished,New Property,1,1,0,1,562.5,0,Budget
Flat,puri diplomatic greens,sector 111,5.0,2950.0,4,5,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,737.5,0,Luxury
Independent Builder Floor,"Block-A, DLF City Phase 1, Gurgaon",sector 26,13.5,6750.0,4,5,3+,Low-rise,1,1,0,0,0,south,Semi-Furnished,New Property,0,1,1,1,1687.5,0,Semi-Luxury
Independent House,Unitech Deerwood Chase,sector 50,14.0,4500.0,6,7,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,Relatively New,1,1,1,0,750.0,0,Luxury
Independent Builder Floor,"Sector 9, Gurgaon",sector 9,2.7,2500.0,3,3,3,Low-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,1,1,0,1,833.3333333333334,0,Budget
Independent Builder Floor,Ansal API Esencia,sector 67,2.95,2500.0,4,4,2,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,1,1,0,1,625.0,0,Luxury
Flat,emaar mgf emerald floors premier,sector 65,2.99,1650.0,3,3,3,Low-rise,1,1,0,0,0,not available,Unfurnished,Moderately Old,0,1,1,1,550.0,0,Semi-Luxury
Flat,dlf regal gardens,sector 90,2.15,1752.0,3,3,3+,Low-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,584.0,0,Budget
Flat,ireo the corridors,sector 67,2.37,1350.0,2,2,2,Mid-rise,0,0,1,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,675.0,0,Luxury
Independent House,Tata Primanti,sector 72,8.5,4500.0,4,4,3+,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,1,1,1,0,1125.0,0,Luxury
Independent House,"Block K1 New Palam Vihar Phase 1, Gurgaon",sector 110,1.1,900.0,2,2,1,Low-rise,0,0,0,0,0,south,Unfurnished,Old Property,1,1,1,0,450.0,0,Budget
Independent House,urban Home,sector 105,1.24,900.0,3,3,1,Low-rise,0,0,0,0,1,west,Unfurnished,New Property,1,0,0,0,300.0,0,Budget
Independent Builder Floor,"South City 1, Gurgaon",sector 41,5.5,4500.0,4,4,2,Low-rise,1,0,1,1,0,north-west,Unfurnished,New Property,1,0,1,1,1125.0,0,Semi-Luxury
Independent Builder Floor,DLF Garden City Floors,sector 92,2.7,2250.0,4,4,3,Low-rise,1,1,1,0,0,east,Semi-Furnished,Relatively New,1,1,0,1,562.5,0,Luxury
Flat,adani m2k oyster grande,sector 102,2.45,1689.0,3,4,3,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,563.0,0,Semi-Luxury
Flat,silverglades the ivy,sector 28,9.5,3800.0,4,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,950.0,0,Semi-Luxury
Independent Builder Floor,Ansal API Esencia,sector 67,2.66,2750.0,4,4,3,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,687.5,0,Budget
Independent Builder Floor,Ansal API Esencia,sector 67,2.51,2259.0,4,4,2,Low-rise,0,1,0,1,1,east,Semi-Furnished,Relatively New,0,1,1,1,564.75,0,Luxury
Flat,m3m heights,sector 65,3.38,1828.0,3,3,3,Low-rise,0,0,0,1,0,east,Unfurnished,Relatively New,0,1,1,1,609.3333333333334,0,Luxury
Independent House,"Block-A, DLF City Phase 1, Gurgaon",sector 26,35.0,4518.0,3,3,2,Low-rise,0,1,0,0,0,north,Unfurnished,Old Property,1,1,1,0,1506.0,0,Budget
Flat,bestech park view grand spa,sector 81,9.0,7054.0,4,4,3+,High-rise,1,1,0,1,1,east,Semi-Furnished,Relatively New,0,1,1,1,1763.5,0,Luxury
Flat,spaze privvy the address,sector 93,3.8,3000.0,4,4,1,Mid-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,1,1,0,1,750.0,0,Luxury
Flat,ireo the corridors,sector 67,2.12,1296.0,2,2,3,Low-rise,0,0,1,0,0,east,Semi-Furnished,Relatively New,0,1,1,1,648.0,0,Luxury
Independent House,"Maruti Kunj, Gurgaon",sector 105,0.39,630.0,2,2,1,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,1,1,1,0,315.0,0,Budget
Independent House,"Sector 5, Gurgaon",sector 5,4.75,1836.0,4,4,2,Low-rise,0,0,0,1,0,south-west,Unfurnished,Old Property,1,1,1,0,459.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,13.8,2403.0,4,4,3+,Low-rise,1,1,1,1,0,north,Semi-Furnished,Relatively New,1,1,1,0,600.75,0,Luxury
Flat,"amoda i, birla navya",sector 63,8.0,3621.0,4,5,3+,Low-rise,0,0,1,0,0,north-west,Furnished,Relatively New,0,1,1,1,905.25,0,Semi-Luxury
Independent House,Ansals Florence Villa,sector 57,7.5,2700.0,4,4,3,Low-rise,0,1,0,0,0,east,Unfurnished,Old Property,1,1,1,0,675.0,0,Luxury
Flat,bestech park view grand spa,sector 81,4.48,3470.0,4,4,2,Mid-rise,1,1,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,867.5,0,Luxury
Independent House,Sushant Lok Phase 1,sector 43,20.9,2700.0,3,3,1,Low-rise,1,1,0,1,0,not available,Unfurnished,Relatively New,1,0,1,1,900.0,0,Semi-Luxury
Independent House,Unitech Uniworld Resorts,sector 33,13.0,4950.0,5,6,3+,Low-rise,1,1,1,1,0,south,Semi-Furnished,Relatively New,1,1,1,0,990.0,0,Luxury
Flat,the citizen,sector 51,5.0,5200.0,4,5,3+,Mid-rise,1,1,1,1,0,south,Unfurnished,Moderately Old,0,1,1,1,1300.0,0,Luxury
Flat,emaar mgf the palm drive,sector 66,4.2,2100.0,4,4,3,Low-rise,1,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,525.0,0,Luxury
Flat,hero homes,sector 104,2.4,1689.0,3,3,3,Mid-rise,0,0,0,1,0,north-east,Unfurnished,Relatively New,0,1,1,1,563.0,0,Luxury
Independent House,International City by SOBHA Phase 2,sector 109,14.6,3600.0,5,5,3+,Low-rise,1,1,0,0,0,north-east,Unfurnished,New Property,1,1,1,0,720.0,0,Semi-Luxury
Flat,bestech park view grand spa,sector 81,3.55,2660.0,3,4,3+,Mid-rise,1,1,1,1,0,east,Semi-Furnished,Relatively New,0,1,1,1,886.6666666666666,0,Luxury
Flat,m3m heights,sector 65,3.44,1828.0,3,3,3,Mid-rise,1,0,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,609.3333333333334,0,Semi-Luxury
Independent House,Unitech Deerwood Chase,sector 50,10.75,2610.0,4,4,2,Low-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,1,0,0,0,652.5,0,Budget
Independent Builder Floor,Ansal API Esencia,sector 67,2.75,2000.0,4,4,2,Low-rise,0,1,0,1,0,not available,Semi-Furnished,New Property,1,1,0,1,500.0,0,Budget
Independent House,Ansals Palam Vihar,sector 1,4.21,1557.0,7,8,3+,Low-rise,1,0,1,1,0,east,Unfurnished,Relatively New,1,1,1,0,222.42857142857142,1,Semi-Luxury
Independent House,Ansals Palam Vihar,sector 1,6.5,3240.0,4,4,3+,Low-rise,0,0,1,1,0,west,Semi-Furnished,New Property,1,1,1,0,810.0,0,Semi-Luxury
Independent House,"Sector 57, Gurgaon",sector 57,6.2,2160.0,6,6,3+,Low-rise,0,0,1,0,0,south-west,Unfurnished,Old Property,1,1,1,0,360.0,0,Luxury
Independent Builder Floor,Luxury Builder Floor In Sushant Lok 1,sector 43,5.45,3762.0,4,4,2,Low-rise,1,1,0,1,1,north,Semi-Furnished,New Property,0,1,1,1,940.5,0,Semi-Luxury
Flat,godrej habitat,sector 3,1.32,1444.0,2,2,2,Low-rise,0,1,0,0,0,north,Unfurnished,New Property,1,1,0,1,722.0,0,Budget
Independent House,"DLF Phase 1, Gurgaon",sector 26,8.5,1800.0,6,7,3,Low-rise,1,1,0,1,1,north,Semi-Furnished,Relatively New,1,1,1,0,300.0,0,Semi-Luxury
Independent House,"Sector 74, Gurgaon",sector 74,1.1,900.0,4,4,3,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,1,0,225.0,1,Budget
Independent House,Vipul Tatvam Villa,sector 48,11.0,3240.0,4,4,3,Low-rise,1,1,1,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,810.0,0,Luxury
Independent Builder Floor,TOP FLOOR TERRACE GARDEN,sector 43,4.21,4000.0,4,5,2,Low-rise,1,1,0,1,1,east,Semi-Furnished,New Property,1,1,0,1,1000.0,0,Budget
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.56,2367.0,3,3,2,Low-rise,1,0,1,1,0,south-east,Unfurnished,Relatively New,1,0,1,1,789.0,0,Budget
Independent House,"Galleria Market, Gurgaon",sector 28,12.5,3150.0,6,5,3+,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,Moderately Old,1,1,0,0,525.0,0,Semi-Luxury
Flat,experion windchants,sector 112,7.28,4848.0,4,4,3,Mid-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,1212.0,0,Semi-Luxury
Flat,spaze privy at4,sector 84,1.85,1918.0,3,3,3+,Mid-rise,0,0,0,0,0,south-east,Unfurnished,New Property,0,1,1,1,639.3333333333334,0,Budget
Flat,m3m heights,sector 65,2.5,1261.0,2,2,3,Low-rise,0,1,1,0,0,west,Furnished,New Property,0,1,1,1,630.5,0,Semi-Luxury
Independent House,Eros Rosewood City,sector 49,4.75,1530.0,4,4,2,Low-rise,0,0,0,1,0,east,Unfurnished,Moderately Old,1,0,0,0,382.5,0,Budget
Flat,adani m2k oyster grande,sector 102,3.75,3198.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,799.5,0,Semi-Luxury
Independent Builder Floor,Ansal API Versalia,sector 67,2.78,2430.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,607.5,0,Semi-Luxury
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,4.6,2700.0,4,4,2,Low-rise,0,1,0,0,0,west,Unfurnished,New Property,0,1,1,1,675.0,0,Semi-Luxury
Independent House,Bptp Visionnaire,sector 70,7.9,2610.0,4,5,3+,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,1,1,0,1,652.5,0,Luxury
Independent House,Unitech Espace,sector 50,12.9,3240.0,4,4,3,Low-rise,1,1,0,0,0,east,Semi-Furnished,Old Property,1,1,1,0,810.0,0,Luxury
Independent House,"DLF Phase 3, Gurgaon",sector 24,2.0,900.0,3,4,3,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,300.0,0,Budget
Independent House,"Sector 9A, Gurgaon",sector 9,7.0,1845.0,5,3,2,Low-rise,1,0,0,1,1,not available,Furnished,Old Property,1,1,1,0,369.0,0,Budget
Independent House,"Sector 7 Extension, Gurgaon",sector 7,2.2,900.0,3,3,2,Low-rise,0,0,0,0,0,north-west,Unfurnished,Old Property,1,1,1,0,300.0,0,Semi-Luxury
Independent House,Emaar The Palm Springs,sector 54,29.31,6802.0,5,7,3+,Low-rise,1,1,0,0,0,east,Semi-Furnished,Old Property,1,1,1,0,1360.4,0,Luxury
Independent Builder Floor,Ansal API Versalia,sector 67,2.65,2400.0,4,4,3+,Low-rise,1,1,0,1,1,east,Furnished,New Property,1,1,0,1,600.0,0,Budget
Independent House,International City by Sobha Phase 1,sector 109,15.0,7330.0,5,6,3+,Low-rise,0,1,0,0,1,east,Unfurnished,New Property,1,0,1,1,1466.0,0,Luxury
Independent House,Vipul Tatvam Villa,sector 48,11.25,4000.0,4,5,3+,Low-rise,0,1,0,1,0,east,Semi-Furnished,Moderately Old,1,1,1,0,1000.0,0,Luxury
Independent House,DLF Gardencity,sector 91,6.9,1800.0,9,7,3+,Low-rise,1,0,0,1,0,north-east,Unfurnished,Relatively New,1,1,1,0,200.0,1,Semi-Luxury
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,High-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,737.5,0,Budget
Independent House,"G block DLF City Phase 1, Gurgaon",sector 26,8.0,1800.0,4,4,3+,Low-rise,1,1,1,0,0,north,Unfurnished,Old Property,1,1,1,0,450.0,0,Semi-Luxury
Independent Builder Floor,Luxury Builder floor In South City 2,sector 49,3.19,2550.0,4,4,2,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,1,0,1,1,637.5,0,Luxury
Flat,ireo the corridors,sector 67,2.71,1550.0,2,2,2,Mid-rise,1,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,775.0,0,Luxury
Flat,dlf the ultima,sector 81,3.73,2092.0,3,4,3+,High-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0,1,1,1,697.3333333333334,0,Budget
Independent House,"Sector 104, Gurgaon",sector 104,4.68,2833.0,3,4,3+,High-rise,0,0,0,0,0,east,Unfurnished,New Property,1,1,1,0,944.3333333333334,0,Semi-Luxury
Independent House,BPTP Amstoria,sector 102,2.8,2182.0,3,3,3,Low-rise,1,1,0,1,0,north-east,Unfurnished,Relatively New,1,1,0,1,727.3333333333334,0,Luxury
Flat,dlf the primus,sector 82,2.8,1818.0,3,3,3+,Low-rise,0,0,0,0,0,south-east,Furnished,Moderately Old,0,1,1,1,606.0,0,Semi-Luxury
Flat,godrej habitat,sector 3,1.41,1444.0,2,2,3+,Mid-rise,0,0,0,0,0,not available,Unfurnished,New Property,1,1,0,1,722.0,0,Budget
Independent House,"Ardee City, Gurgaon",sector 52,1.85,2160.0,3,3,1,Low-rise,0,0,0,0,0,north-west,Unfurnished,Old Property,1,1,1,0,720.0,0,Semi-Luxury
Independent House,Corner Lift & Bsmnt,sector 45,9.0,2367.0,5,6,3+,Low-rise,0,1,1,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,473.4,0,Luxury
Independent Builder Floor,M3M Soulitude,sector 89,1.68,1494.0,3,3,2,Low-rise,1,0,1,1,0,north,Unfurnished,New Property,0,1,1,1,498.0,0,Semi-Luxury
Independent House,"Palam Vihar, Gurgaon",sector 1,7.3,3240.0,8,8,2,Low-rise,0,1,0,1,0,west,Unfurnished,Old Property,1,1,1,0,405.0,0,Semi-Luxury
Independent Builder Floor,"B Block, Mayfield Garden, Gurgaon",sector 50,5.95,4518.0,4,4,2,Low-rise,1,1,0,1,0,east,Semi-Furnished,New Property,1,1,0,1,1129.5,0,Budget
Independent House,Eros Rosewood City,sector 49,4.65,1350.0,3,3,3,Low-rise,0,0,0,0,0,north-east,Unfurnished,Moderately Old,1,1,1,0,450.0,0,Semi-Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,1.95,1368.0,2,2,2,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,684.0,0,Budget
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,6.5,4500.0,4,5,2,Low-rise,1,1,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,1125.0,0,Semi-Luxury
Independent House,"DLF Phase 2, Gurgaon",sector 25,9.0,1935.0,6,7,3,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,Relatively New,1,1,1,0,322.5,0,Semi-Luxury
Independent House,Unitech Deerwood Chase,sector 50,13.95,3240.0,3,3,3,Low-rise,1,1,0,0,0,north-east,Unfurnished,Old Property,1,1,1,0,1080.0,0,Semi-Luxury
Flat,tarc maceo,sector 91,2.8,2724.0,4,4,3+,Low-rise,0,1,0,0,0,south-east,Semi-Furnished,Relatively New,0,1,1,1,681.0,0,Semi-Luxury
Independent House,"Model Town, Gurgaon",sector 11,3.9,1400.0,3,3,3,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,466.6666666666667,0,Budget
Independent House,"Sector 39, Gurgaon",sector 39,3.5,1017.0,4,4,3,Low-rise,0,0,0,1,0,east,Furnished,Moderately Old,1,1,1,0,254.25,1,Semi-Luxury
Flat,ats kocoon,sector 109,2.3,1745.0,3,3,3,Mid-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,581.6666666666666,0,Luxury
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,2.8,1450.0,3,3,2,Low-rise,0,1,0,0,0,north,Semi-Furnished,New Property,1,1,0,1,483.3333333333333,0,Budget
Independent Builder Floor,M3M Soulitude,sector 89,1.29,1127.0,2,2,2,Low-rise,1,0,1,1,0,north-east,Unfurnished,New Property,0,1,1,1,563.5,0,Luxury
Independent House,Emaar MGF Marbella,sector 66,25.0,4500.0,5,5,3+,Low-rise,1,1,1,1,0,west,Unfurnished,Relatively New,1,1,1,0,900.0,0,Luxury
Flat,indiabulls centrum park,sector 103,1.9,1900.0,3,3,3+,High-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,633.3333333333334,0,Budget
Flat,tulip purple,sector 69,2.75,2400.0,4,5,3+,Mid-rise,0,1,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,600.0,0,Semi-Luxury
Independent House,"DLF, Luxury Duplex House Design",sector 24,6.45,1467.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,293.4,0,Luxury
Flat,adani m2k oyster grande,sector 102,3.65,3198.0,4,5,3+,Mid-rise,0,1,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,799.5,0,Luxury
Flat,mahindra luminare,sector 59,6.9,2985.0,3,3,2,Mid-rise,0,1,1,0,0,east,Unfurnished,Relatively New,1,1,0,1,995.0,0,Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.5,1692.0,3,3,3,Mid-rise,0,0,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,564.0,0,Semi-Luxury
Flat,cosmos express 99,sector 99,0.87,795.0,1,1,1,Low-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,795.0,0,Budget
Flat,conscient heritage max,sector 102,4.0,2775.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,693.75,0,Semi-Luxury
Flat,dlf the primus,sector 82,2.68,1818.0,3,3,3+,Mid-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,606.0,0,Budget
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,3.4,2430.0,3,4,3,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,New Property,1,1,0,1,810.0,0,Budget
Independent House,Emaar The Palm Springs,sector 54,28.0,3240.0,5,7,3,Low-rise,1,1,1,1,1,east,Furnished,Moderately Old,1,0,0,0,648.0,0,Luxury
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,2.6,2430.0,3,3,2,Low-rise,0,0,1,1,0,east,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Independent Builder Floor,Niho Scottish Mall,sector 56,4.5,2700.0,4,4,2,Low-rise,0,0,0,0,0,not available,Unfurnished,New Property,1,1,0,1,675.0,0,Budget
Independent House,Huda Sector 23,sector 23,3.99,1449.0,3,3,2,Low-rise,0,0,1,1,0,north,Unfurnished,Relatively New,1,1,1,0,483.0,0,Luxury
Flat,ireo skyon,sector 60,6.5,2800.0,4,5,3,Mid-rise,1,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,700.0,0,Budget
Independent House,"South City 2, Gurgaon",sector 49,9.0,2475.0,7,8,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,353.57142857142856,0,Luxury
Flat,microtek greenburg,sector 86,2.95,1895.0,3,4,3+,High-rise,0,1,0,0,0,east,Semi-Furnished,Relatively New,0,1,1,1,631.6666666666666,0,Budget
Flat,smart world gems,sector 89,1.6,1494.0,3,3,2,Low-rise,1,0,0,0,1,east,Unfurnished,New Property,0,1,1,1,498.0,0,Luxury
Flat,aipl the peaceful homes,sector 70,3.51,2150.0,3,3,3,High-rise,0,1,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,716.6666666666666,0,Semi-Luxury
Independent House,Ansals Palam Vihar,sector 1,7.85,3240.0,4,4,2,Low-rise,0,1,1,0,0,east,Unfurnished,Relatively New,1,1,1,0,810.0,0,Luxury
Flat,pioneer urban presidia,sector 62,9.65,3890.0,4,6,3+,High-rise,0,1,1,1,0,not available,Semi-Furnished,Relatively New,0,1,1,1,972.5,0,Semi-Luxury
Independent House,Huda Flats,sector 57,8.0,2367.0,9,9,3+,Low-rise,0,0,1,0,0,west,Furnished,Relatively New,1,0,0,0,263.0,1,Budget
Flat,signature global the millennia,sector 37,0.72,850.0,2,2,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,425.0,0,Budget
Independent Builder Floor,Ultra Luxury Builder Floor,sector 41,3.35,2200.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Unfurnished,New Property,1,1,0,1,733.3333333333334,0,Budget
Flat,signature the roselia,sector 95,0.62,569.0,2,2,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,1,1,0,1,284.5,0,Budget
Flat,m3m woodshire,sector 107,1.35,1366.0,2,2,3,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,683.0,0,Budget
Independent House,"DLF Phase 3, Gurgaon",sector 24,12.5,2844.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,568.8,0,Luxury
Independent Builder Floor,Emaar Emerald Hills,sector 65,3.3,2403.0,3,3,2,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,801.0,0,Budget
Flat,greenopolis,sector 89,1.58,1957.0,3,3,3,Low-rise,0,1,0,0,1,north-east,Unfurnished,Relatively New,0,1,1,1,652.3333333333334,0,Luxury
Independent House,Vatika Signature Villas,sector 82,6.0,2211.0,4,6,3+,Low-rise,1,1,1,1,0,north-west,Unfurnished,New Property,1,1,1,0,552.75,0,Luxury
Flat,smart world orchard,sector 61,2.59,1630.0,3,3,3,Low-rise,0,0,1,0,0,north-east,Unfurnished,New Property,1,1,0,1,543.3333333333334,0,Luxury
Flat,bestech park view grand spa,sector 81,3.52,2660.0,3,4,3+,Mid-rise,0,1,0,0,0,south-west,Unfurnished,Moderately Old,0,1,1,1,886.6666666666666,0,Semi-Luxury
Independent House,"Sector 105, Gurgaon",sector 105,3.0,972.0,4,3,2,Low-rise,0,0,0,0,0,east,Unfurnished,Old Property,1,1,1,0,243.0,1,Semi-Luxury
Independent House,"Sector 4, Gurgaon",sector 4,3.5,1440.0,4,4,0,Low-rise,0,0,0,1,0,east,Unfurnished,Old Property,1,1,1,0,360.0,0,Semi-Luxury
Flat,vatika sovereign park,sector 99,3.61,2750.0,3,3,3+,High-rise,0,1,0,0,0,west,Unfurnished,Relatively New,0,1,1,1,916.6666666666666,0,Semi-Luxury
Independent House,urban Home,sector 105,1.25,900.0,3,3,1,Low-rise,0,0,0,0,1,north-east,Unfurnished,Relatively New,1,0,0,0,300.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,14.0,2403.0,4,6,3+,Low-rise,0,1,0,1,0,north,Unfurnished,New Property,1,1,1,0,600.75,0,Semi-Luxury
Independent Builder Floor,Vatika Independent Floors,sector 82,2.0,1271.0,3,3,3,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,1,0,1,1,423.6666666666667,0,Semi-Luxury
Flat,dlf the ultima,sector 81,3.68,2100.0,3,4,3+,High-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,700.0,0,Semi-Luxury
