link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,property_id,furnishing_details,features,nearby_location
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4848-sq-ft-spid-E83608582,4 Bedrooms,6 Bathrooms,3+ Balconies,"Study Room,Pooja Room,Servant Room",10th   of 28 Floors,North-East,1 to 5 Year Old,E83608582,"['1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 AC', '1 Modular Kitchen', '1 Curtains', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['First Step Play School', 'Dwaraka Expressway', 'Jai Sai Ram Hospital', 'Sri Ma Montessori International', 'Park Hospital', 'IGI Airport', 'Ansal Plaza', 'Gurgaon Railway Station']"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-945-sq-ft-spid-O83520176,2 Bedrooms,2 Bathrooms,2 Balconies,,5th   of 25 Floors,North-East,1 to 5 Year Old,O83520176,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Pacific D21 Mall', 'Dwarka International Cricket Stadium', 'Manipal Hospital, Palam Vihar', 'Vivanta New Delhi', 'Dwarka Sector 21', 'Fun N Food Water & Amusment Park', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'GGS Indraprastha University', 'IHFL Concept Tech Park', 'BSF Golf Course', 'Dwarka Expressway', 'Orchids The International School']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-2215-sq-ft-spid-E82746096,3 Bedrooms,3 Bathrooms,3 Balconies,,8th   of 24 Floors,North-East,1 to 5 Year Old,E82746096,"['1 Water Purifier', '1 Exhaust Fan', '1 Geyser', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '1 AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Red Roses Public School', 'Metro Hospital, Palam Vihar', 'DLF Corporate Park', 'Mount Carmel School', 'Dwarka Sector 21 Metro Station', 'Indira Gandhi International Airport', 'The Oberoi, Gurgaon', 'Delhi Jaipur Highway', 'The NorthCap University', 'Dwarka Expy', 'Gurgaon Dreamz Mall', 'Dwarka Expressway']"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-elite-sector-86-gurgaon-574-sq-ft-spid-I82859444,2 Bedrooms,2 Bathrooms,No Balcony,,9th   of 14 Floors,,,I82859444,[],"['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Club house / Community Center']","['Hyatt Regency Gurugram', 'SGT University', 'Garhi Harsaru Junction', 'Silver Streak Multi Speciality Hospital', 'Nakhrola Stadium', 'V3S Sapphire Ninety', 'Indira Gandhi International Airport', 'Euro International School', 'Manesar Golf Course', 'Wet n Wild']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ild-grand-sector-37c-gurgaon-1820-sq-ft-spid-L84435808,3 Bedrooms,3 Bathrooms,3 Balconies,,4th   of 27 Floors,West,0 to 1 Year Old,L84435808,,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Max Hospital Gurugram', 'SGT University', 'Narayana e-techno School', 'Indira Gandhi International Airport', 'The Esplanade Mall', 'Dwarka Expy, Sector 88']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-C83200150,3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,6th   of 22 Floors,North,10+ Year Old,C83200150,"['3 Wardrobe', '5 Fan', '1 Stove', '14 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Bharat Ram Global School', 'City Square', 'DSD College', 'Amity University', 'Indira Gandhi Airport', 'Vatika Town Square', 'Shishu Kalyan School', 'Yes Bank', 'ICFAI University', 'Rathore IMT Hospital', 'Canara Bank', 'Axis Bank ATM', 'Patil Station', 'Arc Hospital', 'Canara Bank ATM']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-frontier-sector-80-gurgaon-1821-sq-ft-spid-R84115250,3 Bedrooms,3 Bathrooms,3 Balconies,Store Room,15th   of 18 Floors,East,5 to 10 Year Old,R84115250,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '5 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Fortis Hospital Manesar', 'Hyatt Regency Gurugram', 'Aapnoghar', 'NH 48', 'Mount Olympus School', 'Nehru Stadium', 'Indira Gandhi International Airport', 'Amity University Gurugram, Haryana', 'Golden Greens Golf', 'Sapphire 83']"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-J83972224,3 Bedrooms,3 Bathrooms,3 Balconies,Others,1st   of 26 Floors,North-East,1 to 5 Year Old,J83972224,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Stove', '14 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Delhi Public School', 'Indira Gandhi International Airport', 'Columbia Asia Hospital', 'The NorthCap University', 'Hyatt Place Gurgaon Udyog Vihar', 'Dwarka Expressway', 'Gurgaon Railway Station']"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-2631-sq-ft-spid-F83875532,4 Bedrooms,5 Bathrooms,3+ Balconies,Servant Room,5th   of 14 Floors,East,5 to 10 Year Old,F83875532,"['4 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Geyser', '12 Light', '1 Modular Kitchen', '5 AC', '1 Curtains', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['SkyJumper Trampoline Park', 'Fun N Food Village', 'Galleria 108 Mall', 'The Shikshiyan School', 'Central Peripheral Road', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'Manipal Hospital', 'Dwarka Expressway']"
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-belvedere-park-dlf-phase-2-gurgaon-1711-sq-ft-spid-U84681638,4 Bedrooms,4 Bathrooms,2 Balconies,,11st   of 20 Floors,South,10+ Year Old,U84681638,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Microwave', '11 Light', '1 Chimney', '5 AC', '1 Curtains', '1 Modular Kitchen', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['barrique', 'Micromax moulsari avenue metro station', 'Deutsche bank', 'Mc Donalds', 'Central bank ATM', 'Abn amro bank ATM', 'Food Court', 'Sikanderpur metro station', 'Indusind bank cyber city metro station', 'Dlf phase 3 metro station', 'Central bank atm teste 001112', 'Surgi Center Clinic', 'Relief Physiotherapy Clinic', 'Kotak mahindra ATM', 'Cosmodentz Dental Clinic', 'R.N Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Emaar Business Park', 'Mukesh Dhaba', 'Darpan Skin & Mind Clinic', 'KPMG', 'Shri Shiv Shakthi Mandir', 'Asha Multispeciality Clinic', 'Dental Harbour', 'Krishna Family Clinic', ""Dr. Khullar's Dental Clinic"", 'Upkar Clinic', 'Microsoft', 'Sikandarpur rmrg metro station', 'Kailash Nursing Home Gurgaon', 'Vodafone belvedere towers metro station', ""McDonald's"", 'Guardian', 'Standard chartered bank', 'The God Father', 'Dlf phase 2 metro station', 'Shri Ram Memorial Hospital', 'Icici bank', 'Sikandarpur metro station', 'Boston Consulting Group', 'Bain & Company', 'Durga Poly Clinic', 'Citibank ATM', 'Cantine', 'Shri Balaji Medical Store', 'CEVA Logistics India', 'Machaan', 'Taikisha Engineering PVT', 'DLF Cyber City Phase II', 'RBS Dental Clinic']"
