property_name,link,society,price,area
"5 Bedroom House in Sector 63A, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-anant-raj-estates-sector-63a-gurgaon-8000-sq-ft-spid-L84212256,Anant Raj Estates,₹18 Cr,"₹40,000 /sqft"
"6 Bedroom House in Sector 26, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-sector-26-gurgaon-4500-sq-ft-spid-Q81301455,DLF City Phase 1,₹25 Cr,"₹55,556 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-109-gurgaon-4500-sq-ft-r2-spid-I81579873,"Sector 109, Gurgaon",₹19 Cr,"₹42,222 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sobha-international-city-phase-3-sector-109-gurgaon-3600-sq-ft-r2-spid-H81530827,Sobha International City Phase 3,₹14.5 Cr,"₹40,278 /sqft"
"4 Bedroom House in Sector 50, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-south-city-2-sector-50-gurgaon-550-sq-ft-r5-spid-J76739541,Unitech South City 2,₹2.5 Cr,"₹45,871 /sqft"
"4 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-4680-sq-ft-r1-spid-E83094008,Ansals Palam Vihar,₹11.95 Cr,"₹25,534 /sqft"
"4 Bedroom House in Jyoti Park, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-jyoti-park-gurgaon-684-sq-ft-spid-F84722138,"Jyoti Park, Gurgaon",₹1.2 Cr,"₹17,544 /sqft"
"3 Bedroom House in Rajendra Park, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-rajendra-park-gurgaon-1170-sq-ft-spid-X83711464,"Rajendra Park, Gurgaon",₹78 Lac,"₹13,333 /sqft"
"9 Bedroom House in Block C Ardee City, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-block-c-ardee-city-gurgaon-2160-sq-ft-spid-R83702554,"Block C Ardee City, Gurgaon",₹6.25 Cr,"₹28,935 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-3000-sq-ft-spid-H84682916,Unitech Espace,₹15.8 Cr,"₹48,765 /sqft"
"20 Bedroom House in Sector 46, Gurgaon",https://www.99acres.com/20-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-9000-sq-ft-spid-W84006436,"Sector 46, Gurgaon",₹28 Cr,"₹31,111 /sqft"
"4 Bedroom House in Sector 23, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-23-gurgaon-2475-sq-ft-spid-P83702348,Huda Sector 23,₹7.25 Cr,"₹29,293 /sqft"
"4 Bedroom House in Sector 50, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mayfield-gardens-sector-50-gurgaon-2988-sq-ft-r1-spid-D81316439,Mayfield Gardens,₹9.8 Cr,"₹32,797 /sqft"
"4 Bedroom House in DLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-2844-sq-ft-r1-spid-P82346206,"DLF Phase 1, Gurgaon",₹13 Cr,"₹45,710 /sqft"
"12 Bedroom House in Sector 99, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-99-gurgaon-2250-sq-ft-spid-R84001602,"Sector 99, Gurgaon",₹10 Cr,"₹44,444 /sqft"
"6 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-2430-sq-ft-r13-spid-W56236972,"Palam Vihar, Gurgaon",₹7.3 Cr,"₹30,041 /sqft"
"4 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-3240-sq-ft-r16-spid-L58588024,"Palam Vihar, Gurgaon",₹9.3 Cr,"₹28,704 /sqft"
"7 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-45450-sq-ft-r14-spid-W41790077,"Palam Vihar, Gurgaon",₹8.95 Cr,"₹27,623 /sqft"
