property_name,link,society,price,area
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-4500-sq-ft-spid-N80213331,"Sector 4, Gurgaon",₹6.6 Cr,"₹14,667 /sqft"
"6 Bedroom House in DLF Phase 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-11000-sq-ft-spid-Q84155382,North East & Park Facing Corner 18 meter wide road,₹25 Cr,"₹22,727 /sqft"
"2 Bedroom House in Sector 15 Part 2, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-4518-sq-ft-spid-S82406206,"Sector 15 Part 2, Gurgaon",₹18.99 Cr,"₹42,031 /sqft"
"3 Bedroom House in Jhajjar Road, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-jhajjar-road-gurgaon-4500-sq-ft-spid-J84873064,"Green Heritage Villas, Jhajjar",₹3.39 Cr,"₹3,766 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sobha-international-city-phase-3-sector-109-gurgaon-3600-sq-ft-spid-Q83769064,Sobha International City Phase 3,₹14 Cr,"₹38,889 /sqft"
"3 Bedroom House in B Block Pocket B Palam Vihar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-b-block-pocket-b-palam-vihar-gurgaon-594-sq-ft-spid-G84765628,"B Block Pocket B Palam Vihar, Gurgaon",₹2.25 Cr,"₹37,879 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-O83611144,"Sector 4, Gurgaon",₹4.5 Cr,"₹20,000 /sqft"
"13 Bedroom House in Block S Uppals Southend, Gurgaon",https://www.99acres.com/13-bhk-bedroom-independent-house-villa-for-sale-in-block-s-uppals-southend-gurgaon-2799-sq-ft-spid-V83888702,"Block S Uppals Southend, Gurgaon",₹12 Cr,"₹42,872 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-H84025294,Vipul Tatvam Villa,₹11 Cr,"₹33,951 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-G83610392,"Sector 4, Gurgaon",₹3.4 Cr,"₹23,611 /sqft"
"6 Bedroom House in Sector 81, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-7000-sq-ft-spid-V83784738,Bestech Park View Grand Spa,₹14 Cr,"₹3,11,111 /sqft"
"5 Bedroom House in Rosewood City, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-rosewood-city-gurgaon-540-sq-ft-spid-O82929712,"Rosewood City, Gurgaon",₹2.9 Cr,"₹53,703 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-B84115094,"Sector 4, Gurgaon",₹3.4 Cr,"₹23,611 /sqft"
"5 Bedroom House in Sector 63A, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-anant-raj-estates-sector-63a-gurgaon-2700-sq-ft-r7-spid-O63642222,Anant Raj Estates,₹11.75 Cr,"₹43,518 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-2430-sq-ft-spid-W83603892,International City by Sobha Phase 1,₹9.1 Cr,"₹37,449 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-4500-sq-ft-spid-T84094896,"Sector 4, Gurgaon",₹7.65 Cr,"₹17,000 /sqft"
"5 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-4518-sq-ft-spid-I83764552,"A Block Sushant Lok Phase 1, Gurgaon",₹22.5 Cr,"₹49,801 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-52335-sq-ft-spid-Z83360966,International City by Sobha Phase 1,₹14 Cr,"₹38,889 /sqft"
"3 Bedroom House in Sector-33 Sohna, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2250-sq-ft-spid-Q83861708,Central Park Flower Valley,₹7.75 Cr,"₹34,444 /sqft"
"3 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-2583-sq-ft-spid-X83373130,Vipul Tatvam Villa,₹8.75 Cr,"₹33,875 /sqft"
"6 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-3375-sq-ft-spid-T84373918,"DLF Phase 2, Gurgaon",₹13 Cr,"₹38,518 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-F84375458,"Sector 4, Gurgaon",₹4.5 Cr,"₹20,000 /sqft"
"4 Bedroom House in Block N, Mayfield garden, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-block-n-mayfield-garden-gurgaon-2700-sq-ft-spid-B84870198,"Block N, Mayfield garden, Gurgaon",₹8.5 Cr,"₹31,481 /sqft"
"6 Bedroom House in V Block DLF Phase 3, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-v-block-dlf-phase-3-gurgaon-2844-sq-ft-spid-D84470230,"V Block DLF Phase 3, Gurgaon",₹11 Cr,"₹38,678 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1640-sq-ft-spid-D84013440,"Sector 4, Gurgaon",₹3.6 Cr,"₹21,951 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-7330-sq-ft-r1-spid-M77906185,International City by Sobha Phase 1,₹18 Cr,"₹24,556 /sqft"
"4 Bedroom House in Sohna, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-fleur-villas-sohna-gurgaon-2250-sq-ft-spid-J84221668,Central Park Flower Valley Fleur Villas,₹7.49 Cr,"₹33,289 /sqft"
"3 Bedroom House in Sector 17B, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-17b-gurgaon-2367-sq-ft-r1-spid-H80945189,"Sector 17B, Gurgaon",₹7.15 Cr,"₹30,207 /sqft"
"9 Bedroom House in Block A Greenwood City, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-block-a-greenwood-city-gurgaon-2367-sq-ft-spid-J84694044,"Block A Greenwood City, Gurgaon",₹8.2 Cr,"₹34,643 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5400-sq-ft-spid-S83315520,International City by SOBHA Phase 2,₹9 Cr,"₹16,667 /sqft"
"4 Bedroom House in Sector 9, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-9-gurgaon-2367-sq-ft-spid-L84780248,"Sector 9, Gurgaon",₹5.9 Cr,"₹24,926 /sqft"
"3 Bedroom House in Sushant Lok Phase 3, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-oriental-homes-sushant-lok-phase-3-gurgaon-18648-sq-ft-r2-spid-S77633159,Oriental Homes,₹5.7 Cr,"₹3,423 /sqft"
"4 Bedroom House in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-signature-villas-sector-82-gurgaon-3260-sq-ft-spid-J84679744,Vatika Signature Villas,₹5.9 Cr,"₹2,40,816 /sqft"
"4 Bedroom House in C Block Mayfield Garden, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-c-block-mayfield-garden-gurgaon-3000-sq-ft-spid-R84204354,Mayfield garden,₹7.5 Cr,"₹20,979 /sqft"
"5 Bedroom House in Sector 63A, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-anant-raj-estates-sector-63a-gurgaon-4140-sq-ft-r2-spid-X78984959,Anant Raj Estates,₹13.85 Cr,"₹36,209 /sqft"
"11 Bedroom House in Sector 9A, Gurgaon",https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-sector-9a-gurgaon-63000-sq-ft-spid-T81928284,"Sector 9A, Gurgaon",₹9.5 Cr,"₹30,864 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-109-gurgaon-52326-sq-ft-spid-K81563271,"Sector 109, Gurgaon",₹14 Cr,"₹38,889 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-6228-sq-ft-spid-E81939556,International City by SOBHA Phase 2,₹9.5 Cr,"₹15,254 /sqft"
"3 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-unitech-deerwood-chase-nirvana-country-gurgaon-2160-sq-ft-spid-H84012634,Unitech Deerwood Chase,₹8.8 Cr,"₹40,741 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-4500-sq-ft-spid-P83508380,Emaar MGF Marbella,₹25 Cr,"₹55,556 /sqft"
"3 Bedroom House in Sector 9A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-9a-gurgaon-540-sq-ft-spid-P84160108,"Sector 9A, Gurgaon",₹1.75 Cr,"₹32,407 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3150-sq-ft-spid-J84511568,Emaar MGF Marbella,₹17.5 Cr,"₹55,556 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-4500-sq-ft-spid-S84233024,"Nirvana Country, Gurgaon",₹15 Cr,"₹46,296 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-E84954734,"Sector 4, Gurgaon",₹3.35 Cr,"₹23,264 /sqft"
"11 Bedroom House in A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-7317-sq-ft-spid-Z84545188,"A Block Sushant Lok Phase 1, Gurgaon",₹24.5 Cr,"₹33,484 /sqft"
"3 Bedroom House in Sector 79, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-m3m-antalya-hills-sector-79-gurgaon-937-sq-ft-spid-U83565032,M3M Antalya Hills,₹2.3 Cr,"₹13,855 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-2709-sq-ft-spid-D83873574,Unitech Espace,₹13.25 Cr,"₹48,911 /sqft"
"3 Bedroom House in New Colony, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-colony-gurgaon-1017-sq-ft-spid-T84574636,"New Colony, Gurgaon",₹2.25 Cr,"₹22,124 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-deerwood-chase-nirvana-country-gurgaon-2160-sq-ft-spid-O84406742,Unitech Deerwood Chase,₹9 Cr,"₹41,667 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-3240-sq-ft-r2-spid-I79187863,Unitech Espace,₹12.9 Cr,"₹39,815 /sqft"
"7 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-6030-sq-ft-spid-N78832171,International City by SOBHA Phase 2,₹21.5 Cr,"₹35,655 /sqft"
"18 Bedroom House in Sector 57, Gurgaon",https://www.99acres.com/18-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-1458-sq-ft-spid-J84326802,"sec-57, stilt plus four floors",₹6.5 Cr,"₹44,582 /sqft"
"4 Bedroom House in Sector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-6500-sq-ft-r6-spid-W75317313,Tata Primanti,₹12 Cr,"₹17,142 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3150-sq-ft-spid-Q84588286,Emaar MGF Marbella,₹18 Cr,"₹57,143 /sqft"
"4 Bedroom House in C block Sector 43, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-c-block-sector-43-gurgaon-1935-sq-ft-spid-O83769420,"C block Sector 43, Gurgaon",₹7.95 Cr,"₹41,085 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3204-sq-ft-spid-A81911416,Vipul Tatvam Villa,₹10.95 Cr,"₹34,176 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-deerwood-chase-nirvana-country-gurgaon-3240-sq-ft-spid-F82993962,Unitech Deerwood Chase,₹13.5 Cr,"₹41,667 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-3240-sq-ft-spid-K83275638,"Nirvana Country, Gurgaon",₹14 Cr,"₹43,210 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1440-sq-ft-spid-F84160316,"Sector 4, Gurgaon",₹3.85 Cr,"₹26,736 /sqft"
"4 Bedroom House in Sector 10A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-10a-gurgaon-2367-sq-ft-spid-R82589024,"Sector 10A, Gurgaon",₹6.5 Cr,"₹27,461 /sqft"
"5 Bedroom House in Suncity, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-suncity-gurgaon-2484-sq-ft-spid-U84163676,"Suncity, Gurgaon",₹12.5 Cr,"₹50,322 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-2430-sq-ft-spid-E82587050,International City by Sobha Phase 1,₹9.25 Cr,"₹38,066 /sqft"
"5 Bedroom House in Sector 112, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-experion-windchants-sector-112-gurgaon-6325-sq-ft-spid-O83546312,Experion Windchants,₹8.5 Cr,"₹13,438 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-3240-sq-ft-r1-spid-U79746129,Emaar MGF Marbella,₹25 Cr,"₹55,556 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5400-sq-ft-spid-O77294963,International City by SOBHA Phase 2,₹8 Cr,"₹14,815 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5400-sq-ft-spid-M77295073,International City by SOBHA Phase 2,₹9 Cr,"₹16,667 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-2214-sq-ft-spid-G81616313,International City by SOBHA Phase 2,₹10 Cr,"₹45,167 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3159-sq-ft-spid-X84625228,Vipul Tatvam Villa,₹11.25 Cr,"₹35,612 /sqft"
"4 Bedroom House in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-independent-floors-sector-82-gurgaon-1850-sq-ft-spid-E84568072,Vatika Independent Floors,₹2.35 Cr,"₹12,702 /sqft"
"4 Bedroom House in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-5480-sq-ft-spid-J84564484,Bestech Park View Ananda,₹7.5 Cr,"₹13,686 /sqft"
"3 Bedroom House in Sector 15 Part 2, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-2385-sq-ft-spid-U83612302,"Sector 15 Part 2, Gurgaon",₹7.5 Cr,"₹31,446 /sqft"
"4 Bedroom House in Sector 108, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sobha-city-sector-108-gurgaon-2430-sq-ft-spid-U84676168,Sobha City,₹9 Cr,"₹37,037 /sqft"
"8 Bedroom House in DLF Phase 3, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-3-gurgaon-3510-sq-ft-spid-K84592698,"DLF Phase 3, Gurgaon",₹13 Cr,"₹38,012 /sqft"
"3 Bedroom House in Sector 7, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1440-sq-ft-spid-W84954840,"Sector 7, Gurgaon",₹3.25 Cr,"₹22,569 /sqft"
"3 Bedroom House in Sector 5, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-5-gurgaon-1440-sq-ft-spid-B83200974,"Sector 5, Gurgaon",₹3.35 Cr,"₹23,264 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-4100-sq-ft-spid-F84618238,International City by Sobha Phase 1,₹9.3 Cr,"₹22,682 /sqft"
"5 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1449-sq-ft-spid-Q84761048,"Sector 4, Gurgaon",₹3.5 Cr,"₹24,154 /sqft"
"4 Bedroom House in Sector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-7000-sq-ft-spid-G83969348,Tata Primanti,₹12 Cr,"₹17,142 /sqft"
"5 Bedroom House in Sector 72, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-8500-sq-ft-spid-W83968362,Tata Primanti,₹15 Cr,"₹17,647 /sqft"
"5 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-3240-sq-ft-spid-N84107050,Unitech Espace,₹15.75 Cr,"₹48,611 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-3240-sq-ft-spid-Y83283946,Unitech Espace,₹14 Cr,"₹43,210 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-4500-sq-ft-r21-spid-A50829804,Emaar MGF Marbella,₹24 Cr,"₹53,333 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5400-sq-ft-r1-spid-Z81464619,International City by SOBHA Phase 2,₹8.5 Cr,"₹15,741 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4500-sq-ft-r1-spid-Y81567363,International City by SOBHA Phase 2,₹9 Cr,"₹20,000 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-2430-sq-ft-r1-spid-T81562557,International City by Sobha Phase 1,₹8.75 Cr,"₹36,008 /sqft"
"8 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-6048-sq-ft-r1-spid-O81470759,International City by SOBHA Phase 2,₹23 Cr,"₹38,029 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-40482-sq-ft-r1-spid-N81558251,International City by SOBHA Phase 2,₹9 Cr,"₹16,667 /sqft"
"6 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4500-sq-ft-r1-spid-D81462479,International City by SOBHA Phase 2,₹18.5 Cr,"₹41,111 /sqft"
"5 Bedroom House in Sector 63A, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-anant-raj-estates-sector-63a-gurgaon-5600-sq-ft-r3-spid-J63197298,Anant Raj Estates,₹10.5 Cr,"₹38,888 /sqft"
"6 Bedroom House in Block C DLF phase 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-block-c-dlf-phase-1-gurgaon-3870-sq-ft-spid-K82989322,"Block C DLF phase 1, Gurgaon",₹30 Cr,"₹77,519 /sqft"
"5 Bedroom House in Sector 81, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-5480-sq-ft-spid-Q83724426,Bestech Park View Ananda,₹7.75 Cr,"₹13,686 /sqft"
"4 Bedroom House in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-signature-villas-sector-82-gurgaon-1890-sq-ft-r1-spid-L79788307,Vatika Signature Villas,₹5.95 Cr,"₹27,546 /sqft"
"6 Bedroom House in Sector 70, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-tulip-ivory-sector-70-gurgaon-2700-sq-ft-spid-R83264386,Tulip Ivory,₹11.5 Cr,"₹33,626 /sqft"
"4 Bedroom House in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-signature-villas-sector-82-gurgaon-240-sq-ft-spid-I84442204,Vatika Signature Villas,₹6.5 Cr,"₹2,70,833 /sqft"
"4 Bedroom House in Sector 54, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-suncity-township-sector-54-gurgaon-1467-sq-ft-spid-S83729018,Suncity Township,₹6.45 Cr,"₹43,967 /sqft"
"4 Bedroom House in Sector 70A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-bptp-visionnaire-sector-70a-gurgaon-2610-sq-ft-r6-spid-D64737170,Bptp Visionnaire,₹7.9 Cr,"₹26,820 /sqft"
"6 Bedroom House in Greenwood City, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-greenwood-city-gurgaon-4220-sq-ft-r2-spid-O79902115,duplex kothi,₹14 Cr,"₹35,532 /sqft"
"5 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-3582-sq-ft-spid-A83163028,International City by SOBHA Phase 2,₹15 Cr,"₹41,667 /sqft"
"5 Bedroom House in Block J Pocket C Palam Vihar, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-j-pocket-c-palam-vihar-gurgaon-4500-sq-ft-spid-F84603358,"Block J Pocket C Palam Vihar, Gurgaon",₹12.5 Cr,"₹27,778 /sqft"
"6 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-4500-sq-ft-spid-J84742264,Emaar MGF Marbella,₹25 Cr,"₹55,556 /sqft"
"3 Bedroom House in Sector 15 Part 2, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-1620-sq-ft-spid-Z83708144,"Sector 15 Part 2, Gurgaon",₹5.5 Cr,"₹33,951 /sqft"
"5 Bedroom House in B Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-1-builder-floors-b-block-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-P83727358,Sushant Lok 1 Builder Floors,₹14 Cr,"₹93,333 /sqft"
"4 Bedroom House in Sector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-76500-sq-ft-spid-T84187970,Tata Primanti,₹16 Cr,"₹2,091 /sqft"
"3 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-1449-sq-ft-spid-R83083536,"Sector 4, Gurgaon",₹3.35 Cr,"₹23,119 /sqft"
