property_name,link,society,price,area,areawithtype
"4 BHK Independent Builder Floor in Sector 92, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-garden-city-floors-sector-92-gurgaon-1779-sq-ft-r1-spid-H79566017,DLF Garden City Floors,₹3.49 Cr,"₹19,617 /sqft","1,779 sqft (165 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Sector 92, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-garden-city-floors-sector-92-gurgaon-1978-sq-ft-r1-spid-N79346321,DLF Garden City Floors,₹3.85 Cr,"₹19,464 /sqft","1,978 sqft (184 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2700-sq-ft-spid-F85496150,Ansal API Versalia,₹3.3 Cr,"₹12,222 /sqft","2,700 sqft (251 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2500-sq-ft-spid-N85493790,Ansal API Versalia,₹2.9 Cr,"₹11,600 /sqft","2,500 sqft (232 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in South City 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-luxury-builder-floor-in-south-city-2-south-city-2-gurgaon-2500-sq-ft-spid-J85026724,Luxury Builder floor In South City 2,₹3.5 Cr,"₹14,000 /sqft","2,500 sqft (232 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-O85515664,M3M Soulitude,₹1.68 Cr,"₹11,244 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 57, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2367-sq-ft-spid-J84630336,"Sector 57, Gurgaon",₹3 Cr,"₹13,333 /sqft","2,367 sqft (220 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-3240-sq-ft-spid-B84679798,Ansals Palam Vihar,₹3.25 Cr,"₹10,030 /sqft","3,240 sqft (301 sqm) Super Built-up Area"
"3 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-M85292372,"Block C, Sushant Lok Phase 1, Gurgaon",₹3.6 Cr,"₹18,605 /sqft","1,935 sqft (180 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-3762-sq-ft-spid-W85293148,"Block C, Sushant Lok Phase 1, Gurgaon",₹4.75 Cr,"₹12,626 /sqft","3,762 sqft (350 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 63A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-63a-gurgaon-1620-sq-ft-spid-M84549044,"Sector 63A, Gurgaon",₹2.4 Cr,"₹14,814 /sqft","1,620 sqft (151 sqm) Super Built-up Area"
