property_name,link,society,price,area,areawithtype
"4 BHK Flat in Sector 93, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-spaze-privvy-the-address-sector-93-gurgaon-2720-sq-ft-spid-V81960534,Spaze Privvy The Address,₹3.1 Cr,"₹11,397 /sqft","2,720 sqft (253 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2000-sq-ft-r1-spid-T80940217,Emaar Imperial Gardens,₹2.4 Cr,"₹12,000 /sqft","2,000 sqft (186 sqm) Super Built-up Area"
"3 BHK Flat in Sector 99A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pareena-coban-residences-sector-99a-gurgaon-1997-sq-ft-spid-U83991084,Pareena Coban Residences,₹2.1 Cr,"₹10,515 /sqft","1,997 sqft (186 sqm) Super Built-up Area"
"2 BHK Flat in Sector 82, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-1430-sq-ft-spid-P84977920,Vatika The Seven Lamps,₹1.65 Cr,"₹11,538 /sqft","1,430 sqft (133 sqm) Super Built-up Area"
"2 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-1580-sq-ft-spid-F83447544,Tata Gurgaon Gateway,₹2.55 Cr,"₹16,139 /sqft","1,580 sqft (147 sqm) Super Built-up Area"
"3 BHK Flat in Sector 99, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-sovereign-park-sector-99-gurgaon-2780-sq-ft-spid-V82597940,Vatika Sovereign Park,₹3.65 Cr,"₹13,129 /sqft","2,780 sqft (258 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2073-sq-ft-r3-spid-J76061571,Sobha City,₹4.26 Cr,"₹21,707 /sqft","2,073 sqft (193 sqm) Super Built-up Area"
"3 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-S84406254,Smart World Gems,₹1.63 Cr,"₹10,910 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"4 BHK Flat in Sector 63A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-63a-gurgaon-3621-sq-ft-spid-Q82817666,"Amoda I, Birla Navya",₹8 Cr,"₹22,093 /sqft","3,621 sqft (336 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-spid-E84623102,Sobha City,₹4.25 Cr,"₹32,475 /sqft","2,072 sqft (193 sqm) Super Built-up Area"
"3 BHK Flat in Sector 104, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1389-sq-ft-spid-U85230202,Hero Homes,₹2 Cr,"₹20,211 /sqft","1,389 sqft (129 sqm) Super Built-up Area"
"3 BHK Flat in Sector 86, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-G79277565,DLF The Skycourt,₹2.21 Cr,"₹11,456 /sqft","1,929 sqft (179 sqm) Super Built-up Area"
"3 BHK Flat in Sector 84, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1725-sq-ft-spid-H85069212,Antriksh Heights,₹1.56 Cr,"₹9,043 /sqft","1,725 sqft (160 sqm) Built-up Area"
