property_name,society,price_in_cr,price_per_sqft,areawithtype,property_id,link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,furnishing_details,features,nearby_location
"4 BHK Flat in Sector 66, Gurgaon",emaar mgf palm terraces select,4.4,18257,"2,410 sqft (224 sqm) Super Built-up Area",E84522364,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-terraces-select-sector-66-gurgaon-2410-sq-ft-spid-E84522364,4,5,3+,servant room,5th   of 12 Floors,north-east,1 to 5 Year Old,"['8 Fan', '1 Exhaust Fan', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Sector 55/56 Metro Station', 'DPS International Edge', 'Golf Course Ext Rd', 'Omaxe Gurgaon Mall', 'Park Hospital', 'Badshahpur Sohna Rd Hwy', 'Sushant University', 'Indira Gandhi Intl Airport']"
"4 BHK Flat in Sector 104, Gurgaon",ats triumph,3.88,12317,"3,150 sqft (293 sqm) Super Built-up Area",D81375831,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-r1-spid-D81375831,4,4,3+,servant room,12nd   of 27 Floors,south-west,1 to 5 Year Old,,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['DLF Golf and Country Club', 'Basai Dhankot', 'Govt. PG College', 'Dwarka Expressway', 'The Executive Centre', 'Shree Krishna Hospital', 'Delhi Public School', 'Indira Gandhi International Airport', 'Park Inn', 'The Esplanade Mall', 'Dhanwapur Road', 'The NorthCap University', ""Oyster's Water Park"", 'IFFCO Chowk Metro Station']"
"3 BHK Flat in Sector 86, Gurgaon",dlf the skycourt,2.3,11923,"1,929 sqft (179 sqm) Super Built-up Area",D84525012,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-D84525012,3,3,3,others,10th   of 19 Floors,north-east,1 to 5 Year Old,"['1 Water Purifier', '2 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '1 Stove', '2 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '4 AC', '4 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Sofa', 'No TV']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Rao Bharat Singh International School', 'Nakhrola stadium', 'DPG Institute of Technology', 'Sapphire 83 Mall', 'Imt Manesar', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Hotel Sector 90', 'NH-8, Imt Manesar', 'Aarvy Healthcare', 'Nsg Golf Course']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,1.86,13649,"1,359 sqft (126 sqm) Super Built-up Area",H84743496,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1359-sq-ft-spid-H84743496,3,2,2,not available,2nd   of 36 Floors,north-east,0 to 1 Year Old,"['1 Water Purifier', '8 Light', '1 Chimney', '1 Modular Kitchen', '4 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Orient Bestech Business Tower', 'Dwarka Expressway', 'SGT University', 'Gurugram Global Heights School', 'Indira Gandhi International Airport', 'Medanta Hospital', 'The Esplanade Mall', 'Taj City Centre Gurugram', 'Appu Ghar Amusement Park', 'Gurgaon Railway Station']"
"3 BHK Flat in Sector 61, Gurgaon",smart world orchard,2.75,16063,"1,712 sqft (159 sqm) Carpet Area",K84447284,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1712-sq-ft-spid-K84447284,3,3,3,study room,2nd   of 4 Floors,east,0 to 1 Year Old,"['1 Exhaust Fan', '8 Light', '5 AC', '1 Curtains', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Tau Devi Lal Athletic Stadium', 'Skyline Golf', 'Magnum Global Park', 'Shalom Presidency School', 'Sohna Road', 'Gurugram Railway Station', 'Marengo Asia Hospitals, Gurugram', 'Indira Gandhi International Airport', 'Appu Ghar', 'Sector 55-56 Metro Station', 'Grand Hyatt Gurgaon', 'Sushant University', 'Airia Mall']"
"3 BHK Flat in Sector 67A, Gurgaon",ireo the corridors,3.16,17062,"1,852 sqft (172 sqm) Super Built-up Area",N84110090,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1852-sq-ft-spid-N84110090,3,4,2,servant room,14th   of 19 Floors,not available,1 to 5 Year Old,"['1 Fan', '1 Geyser', '3 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Southern Peripheral Road', 'Paras Trinity Mall', 'De Adventure Park', 'AIPL Business Centre', 'KIIT College of Engineering', 'Indira Gandhi International Airport', 'Radisson Hotel', 'PVR Drive in Theatre', 'Huda Metro Station (Gurugram)', 'Lovely Public School', 'Teri Golf Course', 'Lemon Tree Hotel, Sohna Road']"
"2 BHK Flat in Sector 65, Gurgaon",m3m heights,2.8,18469,"1,516 sqft (141 sqm) Carpet Area",A84523130,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1516-sq-ft-spid-A84523130,2,2,3,study room,21st   of 34 Floors,east,1 to 5 Year Old,"['3 Fan', '1 Exhaust Fan', '2 Geyser', '1 Microwave', '20 Light', '1 Curtains', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Rapid Metro Sector 56', 'DPS International School', 'DPG Institute of Technology', 'M3m 65th Avenue Mall', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'Park Hospital', 'PVR Drive in Theatre', 'Golf Course Extension Road', 'SkyJumper Trampoline Park', 'Gurgaon - Delhi Expy']"
"3 BHK Flat in Sector 57, Gurgaon",bptp freedom park life,3.6,15699,"2,293 sqft (213 sqm) Super Built-up Area",R85084884,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-freedom-park-life-sector-57-gurgaon-2293-sq-ft-spid-R85084884,3,4,3+,servant room,9th   of 18 Floors,east,10+ Year Old,"['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '3 Geyser', '20 Light', '3 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['DLF Golf and Country Club', 'Gurgaon rlwy station', 'De Adventure Park', 'CK Birla Hospital, Gurgaon', 'Baani Square', 'Hans Business Park', 'Nirvana central road', 'Presidium School Gurgaon', 'Tau Devi Lal Athletic Stadium', 'Iffco Chowk', 'Gurugram University', 'Indira Gandhi Intl Airport']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,2.45,14505,"1,689 sqft (157 sqm) Super Built-up Area",S84473674,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-S84473674,3,3,3,pooja room,16th   of 36 Floors,north,1 to 5 Year Old,,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Orient Bestech Business Tower', 'Dwarka Expressway', 'SGT University', 'Gurugram Global Heights School', 'Indira Gandhi International Airport', 'Medanta Hospital', 'The Esplanade Mall', 'Taj City Centre Gurugram', 'Appu Ghar Amusement Park', 'Gurgaon Railway Station']"
"4 BHK Flat in Sector 111, Gurgaon",puri diplomatic greens,4.75,16101,"2,950 sqft (274 sqm) Super Built-up Area",O85345588,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2950-sq-ft-spid-O85345588,4,5,3+,"servant room,study room",15th   of 21 Floors,east,1 to 5 Year Old,"['4 Wardrobe', '1 Stove', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Dreamz Mall', 'Indira Gandhi International Airport', 'Northern Peripheral Road', 'The Oberoi', 'Park Hospital', 'The NorthCap University', 'Dwarka Sector 21', 'Red Roses Public School', 'Gurgaon Railway Station']"
